CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_BUSINESS_DBA;EMPLOYER_ADDRESS;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_REPRESENTING_EMPLOYER;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAICS_CODE;TOTAL_WORKERS;NEW_EMPLOYMENT;CONTINUED_EMPLOYMENT;CHANGE_PREVIOUS_EMPLOYMENT;NEW_CONCURRENT_EMPLOYMENT;CHANGE_EMPLOYER;AMENDED_PETITION;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_SOURCE;PW_SOURCE_YEAR;PW_SOURCE_OTHER;WAGE_RATE_OF_PAY_FROM;WAGE_RATE_OF_PAY_TO;WAGE_UNIT_OF_PAY;H1B_DEPENDENT;WILLFUL_VIOLATOR;SUPPORT_H1B;LABOR_CON_AGREE;PUBLIC_DISCLOSURE_LOCATION;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE;ORIGINAL_CERT_DATE
I-200-16340-527954;CERTIFIED;42709.0;42713.0;H-1B;42736.0;43373.0;IBM INDIA PRIVATE LIMITED;;3039 CORNWALLIS ROAD;DURHAM;NC;27709;UNITED STATES OF AMERICA;;9192544342;;N;,;;;TECHNICAL LEAD;15-1131;COMPUTER PROGRAMMERS;54151;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;74090.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;82529.0;86807.0;Year;N;N;NA;;;LEBANON;HUNTERDON;NJ;08833;
I-200-16285-242960;CERTIFIED;42654.0;42661.0;H-1B;42665.0;43758.0;INFOSYS LIMITED;N/A;6100 TENNYSON PARKWAY;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;N;,;;;TECHNICAL TEST LEAD - US - PRACTITIONER;15-1199;SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS;541511;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;95306.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;95306.0;0.0;Year;Y;N;Y;;;SUNNYVALE;SANTA CLARA;CA;94085;
I-200-16339-023257;CERTIFIED;42709.0;42713.0;H-1B;42884.0;43980.0;ERNST & YOUNG U.S. LLP;N/A;200 PLAZA DRIVE;SECAUCUS;NJ;07094;UNITED STATES OF AMERICA;;2018723003;;Y;WALSH, MARC;TORONTO;;ASSURANCE STAFF;13-2011;ACCOUNTANTS AND AUDITORS;541211;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;47819.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;51000.0;0.0;Year;N;N;NA;;;CLEVELAND;CUYAHOGA;OH;44113;
I-200-16177-691093;CERTIFIED-WITHDRAWN;42549.0;42676.0;H-1B;42722.0;43816.0;CHARTER GLOBAL, INC.;;7000 CENTRAL PARKWAY;ATLANTA;GA;30328;UNITED STATES OF AMERICA;;7703269933;;N;,;;;TEST ENGINEER;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;81515.0;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;81515.0;95000.0;Year;Y;N;Y;;;RICHARDSON;DALLAS;TX;75081;42556.0
I-200-16365-460416;CERTIFIED;42802.0;42808.0;H-1B;42811.0;43907.0;ITELLIGENCE, INC.;;10856 REED HARTMAN HIGHWAY;CINCINNATI;OH;45242;UNITED STATES OF AMERICA;;5139562000;;N;,;;;TECHNICAL PROJECT MANAGER;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541512;40.0;8.0;8.0;8.0;0.0;8.0;8.0;Y;96616.0;Year;Level IV;OES;2016;OFLC ONLINE DATA CENTER;96616.0;0.0;Year;N;N;;Y;;COLUMBUS;FRANKLIN;OH;43228;
I-200-17068-914136;CERTIFIED;42809.0;42815.0;H-1B;42992.0;44087.0;HIGH ROCK LEGAL;HIGH ROCK LEGAL;ONE MARKET ST.;LYNN;MA;01901;UNITED STATES OF AMERICA;;7815993200;;Y;HENRIQUEZ, JULIO;BOSTON;MA;LAW CLERK;23-2011;PARALEGALS AND LEGAL ASSISTANTS;54111;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;42515.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;42515.0;0.0;Year;N;N;NA;Y;;LYNN;ESSEX;MA;01901;
I-200-16301-949710;CERTIFIED;42671.0;42677.0;H-1B;42677.0;43771.0;MPRSOFT INC.;;44790 MAYNARD SQ;ASHBURN;VA;20147;UNITED STATES OF AMERICA;;9729741473;;Y;KLEIN, ALISSA;OWINGS MILLS;MD;SYSTEMS ENGINEER;15-1122;INFORMATION SECURITY ANALYSTS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;74110.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;75000.0;0.0;Year;Y;N;Y;;;MANASSAS;MANASSAS CITY;VA;20110;
I-200-17031-538289;CERTIFIED;42781.0;42788.0;H-1B;42941.0;44036.0;SYNOPSYS, INC.;;690 EAST MIDDLEFIELD ROAD;MOUNTAIN VIEW;CA;94043;UNITED STATES OF AMERICA;;6505845000;;Y;TAFAPOLSKY, ALAN;SAN FRANCISCO;CA;R&D ENGINEER;15-1133;SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE;541512;50.0;20.0;5.0;10.0;0.0;10.0;5.0;Y;96191.0;Year;N/A;Other;2017;RADFORD GLOBAL TECHNOLOGY SURVEY (L2);96191.0;171191.0;Year;N;N;NA;;;MARLBOROUGH;MIDDLESEX;MA;01752;
I-200-17108-187157;CERTIFIED;42843.0;42849.0;H-1B;42870.0;43966.0;MASER CONSULTING;;331 NEWMAN SPRINGS ROAD;RED BANK;NJ;07701;UNITED STATES OF AMERICA;;7323831950;;Y;ESMITS, CHRISTOPHER;CHICAGO;IL;ENGINEER;17-2051;CIVIL ENGINEERS;541330;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;47965.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;70200.0;0.0;Year;N;N;NA;Y;;MT. LAUREL;BURLINGTON;NJ;08054;
I-200-17069-297256;WITHDRAWN;42804.0;42810.0;H-1B;42975.0;44070.0;LOWERMYBILLS.COM;;12181 BLUFF CREEK DRIVE;PLAYA VISTA;CA;90094;UNITED STATES OF AMERICA;;3103486820;;Y;PACK, JAMES;IRVINE;CA;SENIOR SOFTWARE ENGINEER;15-1121;COMPUTER SYSTEMS ANALYSTS;5191;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;113443.0;Year;Level IV;OES;2016;OFLC ONLINE DATA CENTER;113443.0;130000.0;Year;N;N;NA;;;PLAYA VISTA;LOS ANGELES;CA;90094;
I-200-17065-873787;CERTIFIED;42801.0;42807.0;H-1B;42983.0;44079.0;T-MOBILE USA, INC.;;12920 SE 38TH STREET;BELLEVUE;WA;98006;UNITED STATES OF AMERICA;;4253836788;;Y;APONTE, JULIE;CHICAGO;IL;ENGINEER, SYSTEMS ARCHITECTURE;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;517212;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;65666.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;96597.0;101000.0;Year;N;N;NA;;;BELLEVUE;KING;WA;98006;
I-200-17172-470051;CERTIFIED;42907.0;42913.0;H-1B;43003.0;44098.0;NEBRASKA FURNITURE MART, INC.;;700 SOUTH 72ND STREET;OMAHA;NE;68114;UNITED STATES OF AMERICA;;4023923260;;Y;CRONE, KRISTIN;OMAHA;NE;PROGRAMMER ANALYST III;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;442110;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;84926.0;Year;Level III;OES;2017;OFLC ONLINE DATA CENTER;95000.0;0.0;Year;N;N;NA;;;OMAHA;DOUGLAS;NE;68114;
I-200-17056-411810;CERTIFIED;42794.0;42800.0;H-1B;42974.0;44069.0;SAIBERSYS INC.;;2840 KELLER SPRINGS RD., STE. 401;CARROLLTON;TX;75006;UNITED STATES OF AMERICA;N/A;2147053015;;Y;NEUMANN, EMILY;HOUSTON;TX;SOFTWARE PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;62754.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;63000.0;0.0;Year;Y;N;N;Y;;CARROLLTON;DALLAS;TX;75006;
I-200-17076-905530;CERTIFIED;42811.0;42817.0;H-1B;42980.0;44075.0;PREMIER PLUS EDUCATION LLC;N/A;575 JERICHO TURNPIKE;JERICHO;NY;11753;UNITED STATES OF AMERICA;N/A;5165975252;;Y;JIANG, KENNETH;NEW YORK;NY;FINANCIAL SPECIALIST;13-2099;FINANCIAL SPECIALISTS, ALL OTHER;923110;1.0;1.0;0.0;0.0;0.0;0.0;0.0;N;17.65;Hour;Level I;Other;2017;OFLC ONLINE DATA CENTER;18.0;0.0;Hour;N;N;NA;Y;;JERICHO;NASSAU;NY;11753;
I-200-17030-567278;CERTIFIED;42783.0;42790.0;H-1B;42946.0;44042.0;BANK OF AMERICA N.A.;;50 ROCKEFELLER PLAZA;NEW YORK;NY;10020;UNITED STATES OF AMERICA;N/A;6468551847;;Y;ATASSI, ISHA;NEW YORK;NY;SENIOR VICE PRESIDENT - PRIVATE CLIENT ADVISOR II;13-2052;PERSONAL FINANCIAL ADVISORS;522110;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;199222.0;Year;Level IV;OES;2016;OFLC ONLINE DATA CENTER;200000.0;0.0;Year;N;N;NA;;;SAN FRANCISCO;SAN FRANCISCO;CA;94104;
I-200-17086-780145;CERTIFIED;42828.0;42832.0;H-1B;42955.0;44050.0;TATA CONSULTANCY SERVICES LIMITED;;9201 CORPORATE BOULEVARD;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;;3012319083;;Y;GOEL, VIC;RESTON;VA;DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541511;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;67891.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;67891.0;87000.0;Year;Y;N;Y;;;IRVING;DALLAS;TX;75039;
I-200-17064-804573;CERTIFIED;42803.0;42809.0;H-1B;42984.0;44079.0;GAJLAXMI INC;;6 WINTERBERRY CT;NEWINGTON;CT;06111;UNITED STATES OF AMERICA;;6465714546;;N;,;;;SYSTEMS ACCOUNTANT;13-2011;ACCOUNTANTS AND AUDITORS;5416;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;55765.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;60000.0;0.0;Year;N;N;NA;Y;;OLD BRIDGE;MIDDLESEX;NJ;08857;
I-200-17223-111983;CERTIFIED;42958.0;42964.0;H-1B;42976.0;43166.0;VALIDATION ASSOCIATES LLC;;131 ELDEN STREET;HERNDON;VA;20170;;;;;;,;;;PROCESS ENGINEER (VALIDATION);17-2041;CHEMICAL ENGINEERS;5416;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;26.72;Hour;;OES;2017;OFLC ONLINE DATA CENTER;29.0;0.0;Hour;Y;N;Y;;;LOS ANGELES;LOS ANGELES;CA;90094;
I-200-17180-843377;CERTIFIED;42915.0;42923.0;H-1B;42915.0;44011.0;KFORCE INC.;;1001 EAST PALM AVENUE;TAMPA;FL;33605;;;;;;,;;;SENIOR PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;5416;10.0;2.0;2.0;2.0;2.0;1.0;1.0;Y;31.63;Hour;;OES;2016;OFLC ONLINE DATA CENTER;32.0;70.0;Hour;N;N;NA;;;CORONA;RIVERSIDE;CA;92880;
I-200-17006-302457;CERTIFIED;42741.0;42747.0;H-1B;42888.0;43984.0;SIEMENS PLM SOFTWARE INC.;;2000 EASTMAN DRIVE;MILFORD;OH;45150;UNITED STATES OF AMERICA;;5135762400;;N;,;;;ENTERPRISE ENGINEER ADVANCED;15-1121;COMPUTER SYSTEMS ANALYSTS;511210;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;79165.0;Year;Level II;Other;2016;OFLC ONLINE DATA CENTER;89300.0;117353.0;Year;N;N;NA;Y;;NEW CASTLE;NEW CASTLE;DE;19720;
I-200-17040-738545;CERTIFIED;42775.0;42781.0;H-1B;42955.0;44050.0;CAPGEMINI AMERICA INC;N/A;333 WEST WACKER DRIVE;CHICAGO;IL;60606;UNITED STATES OF AMERICA;N/A;3123955000;;N;,;;;TEST CONSULTANT 1;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;5416;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;53165.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;60000.0;0.0;Year;Y;N;Y;;;NEW YORK;NEW YORK;NY;10019;
I-200-17080-977462;CERTIFIED;42815.0;42821.0;H-1B;42997.0;44092.0;CHARTER GLOBAL, INC.;;7000 CENTRAL PARKWAY;ATLANTA;GA;30328;UNITED STATES OF AMERICA;N/A;7703269933;;N;,;;;SOFTWARE TESTING ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;58510.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;60000.0;70000.0;Year;Y;N;Y;;;DULUTH;GWINNETT;GA;30096;
I-200-16285-711742;CERTIFIED;42655.0;42661.0;H-1B;42661.0;43755.0;ACCENTURE LLP;N/A;161 N. CLARK ST.;CHICAGO;IL;60601;UNITED STATES OF AMERICA;N/A;3126930161;N/A;Y;GUPTA, OISHIKA;CHICAGO;IL;COMPUTER SPECIALIST/SYSTEM SUPPORT AND DEVELOPMENT ADMIN 2;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;5416;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;67642.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;67642.0;0.0;Year;N;N;NA;;;WEST PALM BEACH;PALM BEACH;FL;33411;
I-200-17121-066676;CERTIFIED;42860.0;42866.0;H-1B;42953.0;44048.0;TATA CONSULTANCY SERVICES LIMITED;;9201 CORPORATE BOULEVARD;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;;3012319083;;Y;GOEL, VIC;RESTON;VA;DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541511;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;60070.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;60070.0;88200.0;Year;Y;N;Y;;;BLOOMINGTON;MCLEAN;IL;61791;
I-200-17047-336556;CERTIFIED;42783.0;42790.0;H-1B;42961.0;44054.0;INFOSYS LIMITED;N/A;6100 TENNYSON PARKWAY;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;N;,;;;TECHNOLOGY ANALYST - US;15-1121;COMPUTER SYSTEMS ANALYST;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;53082.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;68592.0;0.0;Year;Y;N;Y;;;OMAHA;DOUGLAS;NE;68106;
I-200-16328-576437;CERTIFIED;42697.0;42704.0;H-1B;42704.0;43798.0;UNIVERSITY PHYSICIANS & SURGEONS, INC.;MARSHALL HEALTH;1600 MEDICAL CENTER DRIVE;HUNTINGTON;WV;25701-3655;UNITED STATES OF AMERICA;;3046911712;;Y;WADHWANI, CATHERINE;PITTSBURGH;PA;GASTROENTEROLOGIST (ASSISTANT PROFESSOR OF MEDICINE);29-1063;INTERNISTS, GENERAL;622110;1.0;0.0;0.0;0.0;1.0;0.0;0.0;Y;174450.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;325000.0;0.0;Year;N;N;NA;;;HUNTINGTON;CABELL;WV;25701;
I-200-17019-278455;CERTIFIED;42755.0;42761.0;H-1B;42772.0;43865.0;INFOSYS LIMITED;N/A;6100 TENNYSON PARKWAY;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;N;,;;;TECHNICAL TEST LEAD - US - PRACTITIONER;15-1199;SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;72987.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;76542.0;0.0;Year;Y;N;Y;;;SAN DIEGO;SAN DIEGO;CA;92123;
I-200-17081-546678;CERTIFIED;42816.0;42822.0;H-1B;42979.0;44074.0;SKL SOLUTIONS INC;N/A;5700 GRANITE PKWY;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4697140099;;N;,;;;SOFTWARE DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;52166.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;60000.0;0.0;Year;N;N;NA;Y;;WARRENVILLE;DU PAGE;IL;60555;
I-200-17255-607603;CERTIFIED;43003.0;43007.0;H-1B;43003.0;44085.0;TATA CONSULTANCY SERVICES LIMITED;;9201 CORPORATE BOULEVARD;ROCKVILLE;MD;20850;;;;;;,;;;DEVELOPER USER INTERFACE;15-1134;WEB DEVELOPERS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;64938.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;64938.0;88200.0;Year;Y;N;Y;;;IRVING;DALLAS;TX;75039;
I-203-17053-084107;CERTIFIED;42788.0;42794.0;E-3 Australian;42795.0;43525.0;BUILD GROUP, INC.;SPARK SERVICES;457 MINNA STREET;SAN FRANCISCO;CA;94013;UNITED STATES OF AMERICA;;4157772205;;Y;BYRNE, JAMES;SAN FRANCISCO;CA;PROJECT MANAGER;11-9021;CONSTRUCTION MANAGERS;236220;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;95000.0;Year;Level I;Other;2017;OFLC ONLINE DATA CENTER;95000.0;0.0;Year;;;;;;SAN FRANCISCO;SAN FRANCISCO;CA;94013;
I-200-17244-452331;CERTIFIED;42979.0;42986.0;H-1B;42990.0;44083.0;INFOSYS LIMITED;;6100 TENNYSON PARKWAY;PLANO;TX;75024;;;;;;,;;;CONSULTANT - US - PRACTITIONER;15-1121;COMPUTER SYSTEMS ANALYST;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;81266.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;81266.0;0.0;Year;Y;N;Y;;;BERLIN;HARTFORD;CT;06037;
I-200-17110-769678;CERTIFIED;42845.0;42851.0;H-1B;42863.0;43958.0;TECH DATA CORPORATION;N/A;5350 TECH DATA DRIVE;CLEARWATER;FL;33760;UNITED STATES OF AMERICA;N/A;7275397429;;Y;GONZALEZ, ANA;CORAL GABLES;FL;ANALYST/DEVELOPER, SYSTEMS IV;15-1121;COMPUTER SYSTEMS ANALYSTS;511210;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;109366.0;Year;Level IV;Other;2016;OFLC ONLINE DATA CENTER;129500.0;0.0;Year;N;N;NA;Y;;TEMPE;MARICOPA;AZ;85284;
I-200-17115-043721;CERTIFIED;42850.0;42856.0;H-1B;42856.0;43951.0;KHOJ INFORMATION TECHNOLOGY, INC.;;545 ISLAND ROAD, SUITE 3C;RAMSEY;NJ;07446;UNITED STATES OF AMERICA;;2016771257;;N;,;;;SYSTEMS ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541512;3.0;1.0;0.0;0.0;1.0;1.0;0.0;Y;61194.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;75000.0;0.0;Year;Y;N;Y;Y;;CAMDEN;CAMDEN;NJ;08103;
